region,gadm_province,gadm_municipality,is_city,income_class,population,land_area
REGION IV-A,Rizal,Morong,0.0,2nd,52194.0,3758.0
REGION XIII,Dinagat Islands,San Jose,0.0,4th,31035.0,2780.0
CAR,Ifugao,Hingyon,0.0,5th,9795.0,6202.0
REGION XII,North Cotabato,Banisilan,0.0,2nd,39914.0,57722.0
REGION V,Masbate,Esperanza,0.0,5th,17357.0,6749.0
REGION III,Bulacan,Paombong,0.0,3rd,50940.0,4634.0
REGION II,Isabela,Cauayan City,1.0,3rd Class ,"",33640.0
REGION III,Tarlac,Santa Ignacia,0.0,2nd,43787.0,14607.0
REGION III,Nueva Ecija,San Isidro,0.0,2nd,47800.0,5649.0
REGION IV-A,Quezon,Lucban,0.0,2nd,46698.0,13046.0
REGION VI,Iloilo,Duenas,0.0,4th,33671.0,9052.0
ARMM,Basilan,Ungkaya Pukan,0.0,-,17701.0,25703.0
REGION IV-A,Quezon,Patnanungan,0.0,5th,13865.0,13920.0
REGION IV-A,Laguna,Siniloan,0.0,2nd,35363.0,6451.0
REGION VIII,Leyte,Tolosa,0.0,5th,17921.0,2254.0
REGION III,Bulacan,Bulacan,0.0,1st,71751.0,7290.0
REGION IV-B,Romblon,Romblon,0.0,3rd,37995.0,8687.0
REGION V,Camarines Sur,Sagnay,0.0,4th,31314.0,15476.0
ARMM,Maguindanao,Talayan,0.0,4th,16042.0,14384.0
REGION IX,Zamboanga Sibugay,Buug,0.0,3rd,35969.0,13406.0
REGION X,Camiguin,Catarman,0.0,5th,16388.0,5375.0
CAR,Abra,Sallapadan,0.0,5th,5985.0,12862.0
REGION VII,Cebu,Cordoba,0.0,3rd,50353.0,1715.0
REGION VI,Iloilo,San Enrique,0.0,3rd,32422.0,11028.0
ARMM,Tawi-Tawi,Tandubas,0.0,2nd,27748.0,55205.0
REGION V,Catanduanes,San Miguel,0.0,5th,14107.0,12994.0
REGION III,Bulacan,Balagtas,0.0,1st,65440.0,2866.0
REGION VIII,Leyte,Burauen,0.0,1st,48853.0,26533.0
REGION XIII,Agusan del Sur,San Luis,0.0,1st,32733.0,95050.0
REGION VI,Antique,Barbaza,0.0,4th,21775.0,15436.0
REGION I,La Union,Burgos,0.0,5th,7850.0,7080.0
REGION III,Bataan,Bagac,0.0,3rd,25568.0,23120.0
NIR,Negros Occidental,La Castellana,0.0,1st,71013.0,18522.0
REGION IV-B,Romblon,San Agustin,0.0,4th,22116.0,14048.0
REGION X,Misamis Occidental,Concepcion,0.0,6th,7410.0,6160.0
REGION IV-B,Romblon,San Fernando,0.0,4th,22466.0,19687.0
REGION VIII,Southern Leyte,Limasawa,0.0,6th,5835.0,698.0
REGION X,Misamis Occidental,Baliangao,0.0,5th,16155.0,8172.0
REGION IX,Zamboanga del Norte,Sindangan,0.0,1st,94146.0,45100.0
CAR,Mountain Province,Besao,0.0,5th,7818.0,17362.0
REGION X,Lanao del Norte,Poona Piagapo,0.0,4th,23451.0,26007.0
REGION I,La Union,Tubao,0.0,4th,26993.0,5075.0
REGION V,Sorsogon,Barcelona,0.0,5th,20340.0,6118.0
REGION VII,Bohol,Sevilla,0.0,5th,10443.0,11675.0
REGION IV-A,Quezon,San Francisco,0.0,2nd,57979.0,30396.0
ARMM,Basilan,Lamitan City,1.0,6th Class ,"",35445.0
ARMM,Maguindanao,Datu Saudi-Ampatuan,0.0,4th,20330.0,6016.0
REGION III,Bataan,Orani,0.0,1st,61099.0,6490.0
REGION VI,Iloilo,Calinog,0.0,1st,54430.0,27455.0
REGION VI,Iloilo,Maasin,0.0,3rd,35069.0,12859.0
REGION XI,Davao del Norte,Panabo City,1.0,3rd Class ,"",25123.0
NIR,Negros Occidental,Candoni,0.0,4th,21336.0,19170.0
REGION IV-A,Cavite,Alfonso,0.0,1st,48567.0,6658.0
REGION XI,Compostela Valley,Nabunturan,0.0,1st,73196.0,23130.0
REGION IV-A,Batangas,Mabini,0.0,1st,44391.0,4447.0
REGION XIII,Agusan del Sur,La Paz,0.0,1st,28562.0,148112.0
REGION V,Camarines Sur,Buhi,0.0,1st,73809.0,24665.0
ARMM,Lanao del Sur,Picong,0.0,-,14136.0,28000.0
REGION X,Lanao del Norte,Matungao,0.0,5th,12217.0,4574.0
REGION VIII,Leyte,Matag-Ob,0.0,4th,17089.0,10440.0
REGION X,Lanao del Norte,Iligan City,1.0,1st Class-Special,"",81337.0
REGION V,Sorsogon,Bulusan,0.0,4th,22089.0,9630.0
REGION I,Ilocos Sur,Candon City,1.0,4th Class ,"",10328.0
REGION IV-A,Batangas,Batangas City,1.0,1st Class-Special,"",28296.0
REGION XI,Compostela Valley,Mabini,0.0,2nd,36807.0,40000.0
REGION II,Cagayan,Santa Teresita,0.0,4th,17600.0,16698.0
REGION I,Pangasinan,Labrador,0.0,4th,21149.0,9099.0
REGION VIII,Eastern Samar,San Julian,0.0,5th,13748.0,15062.0
ARMM,Sulu,Tongkil,0.0,4th,17802.0,35259.0
REGION IV-B,Oriental Mindoro,Victoria,0.0,2nd,48308.0,14623.0
REGION VI,Antique,San Jose,0.0,1st,57847.0,4856.0
NIR,Negros Occidental,Pulupandan,0.0,3rd,25350.0,2300.0
CAR,Mountain Province,Bontoc,0.0,2nd,23980.0,39610.0
REGION IV-A,Batangas,Balayan,0.0,1st,81805.0,10873.0
CAR,Abra,Boliney,0.0,5th,4063.0,21692.0
NIR,Negros Oriental,Canlaon City,1.0,4th Class ,"",17093.0
REGION IV-A,Cavite,Silang,0.0,1st,213490.0,20943.0
REGION VI,Aklan,Batan,0.0,4th,30312.0,7922.0
REGION I,Ilocos Sur,Gregorio Del Pilar,0.0,5th,4219.0,4166.0
ARMM,Lanao del Sur,Tagoloan II,0.0,4th,9843.0,36235.0
REGION I,Pangasinan,Santa Barbara,0.0,1st,76637.0,6137.0
REGION XI,Davao del Norte,Kapalong,0.0,1st,68261.0,83001.0
REGION II,Cagayan,Lal-Lo,0.0,1st,41388.0,70280.0
REGION II,Cagayan,Peñablanca,0.0,1st,42736.0,119320.0
REGION III,Nueva Ecija,Carranglan,0.0,1st,37124.0,70531.0
REGION VIII,Southern Leyte,Liloan,0.0,4th,22817.0,5030.0
REGION IV-A,Cavite,Naic,0.0,1st,88144.0,7624.0
REGION VIII,Eastern Samar,Guiuan,0.0,2nd,47037.0,17549.0
REGION VII,Cebu,Danao City,1.0,3rd Class ,"",10730.0
REGION VIII,Eastern Samar,Sulat,0.0,4th,15184.0,16975.0
REGION IV-A,Batangas,Mataas Na Kahoy,0.0,4th,27177.0,2210.0
REGION XII,Sarangani,Maasim,0.0,1st,52933.0,50043.0
REGION XIII,Surigao del Sur,Lingig,0.0,2nd,31544.0,30517.0
REGION VIII,Southern Leyte,Padre Burgos,0.0,5th,10525.0,2565.0
ARMM,Maguindanao,Pandag,0.0,-,13795.0,8531.0
REGION III,Bataan,Limay,0.0,1st,57207.0,10360.0
REGION VII,Bohol,Tagbilaran City,1.0,3rd Class ,"",3650.0
ARMM,Lanao del Sur,Sultan Dumalondong,0.0,6th,10522.0,27580.0
REGION VIII,Northern Samar,Laoang,0.0,2nd,58037.0,24694.0
REGION II,Isabela,Angadanan,0.0,3rd,40143.0,20440.0
REGION I,Pangasinan,Mapandan,0.0,3rd,34439.0,3000.0
ARMM,Lanao del Sur,Mulondo,0.0,3rd,14065.0,45867.0
REGION VIII,Samar,San Sebastian,0.0,6th,7708.0,3907.0
NIR,Negros Oriental,Bacong,0.0,4th,32286.0,4030.0
REGION IV-A,Quezon,Plaridel,0.0,5th,10238.0,3505.0
REGION IX,Zamboanga del Norte,Gutalac,0.0,2nd,32153.0,49286.0
REGION IV-A,Laguna,San Pedro,1.0,- ,"",2405.0
REGION VIII,Biliran,Kawayan,0.0,5th,20238.0,6102.0
ARMM,Maguindanao,Talitay,0.0,-,13328.0,6296.0
REGION II,Cagayan,Camalaniugan,0.0,4th,23404.0,7650.0
REGION I,Pangasinan,San Nicolas,0.0,1st,34108.0,21020.0
REGION I,Ilocos Norte,Laoag City,1.0,3rd Class ,"",11608.0
REGION VI,Iloilo,Concepcion,0.0,3rd,39617.0,8612.0
REGION X,Bukidnon,Talakag,0.0,1st,67123.0,78640.0
REGION X,Misamis Oriental,Jasaan,0.0,2nd,50121.0,7702.0
ARMM,Sulu,Talipao,0.0,1st,75173.0,38057.0
REGION VI,Iloilo,San Joaquin,0.0,2nd,51645.0,23484.0
REGION X,Misamis Oriental,Sugbongcogon,0.0,5th,8745.0,2650.0
REGION IV-B,Palawan,El Nido,0.0,1st,36191.0,92326.0
ARMM,Lanao del Sur,Kapatagan,0.0,4th,13432.0,28813.0
NIR,Negros Occidental,Toboso,0.0,3rd,41658.0,11733.0
ARMM,Lanao del Sur,Lumba-Bayabao,0.0,2nd,32412.0,64002.0
NCR,Metropolitan Manila,Kalookan City,1.0,1st Class-Special,"",5580.0
CAR,Apayao,Luna,0.0,2nd,18029.0,60604.0
REGION VI,Aklan,Libacao,0.0,3rd,28005.0,25498.0
REGION VII,Bohol,Loay,0.0,5th,16261.0,4824.0
REGION X,Misamis Oriental,Lugait,0.0,2nd,18639.0,2745.0
REGION I,Pangasinan,Mangaldan,0.0,1st,98905.0,4847.0
REGION V,Camarines Norte,Basud,0.0,3rd,38176.0,26028.0
ARMM,Lanao del Sur,Ganassi,0.0,4th,20205.0,25600.0
REGION IV-A,Cavite,Noveleta,0.0,3rd,41678.0,1643.0
REGION VIII,Leyte,Villaba,0.0,3rd,38819.0,15031.0
REGION IV-A,Cavite,Ternate,0.0,4th,19297.0,5993.0
REGION V,Catanduanes,Gigmoto,0.0,5th,8003.0,18182.0
REGION XI,Davao del Norte,Samal City,1.0,4th Class ,"",30130.0
REGION XIII,Surigao del Norte,Alegria,0.0,5th,14539.0,6528.0
OAV,NORTH AND LATIN AMERICA,WASHINGTON D.C. PE,-1.0,"","",""
REGION III,Bulacan,Norzagaray,0.0,1st,103095.0,30977.0
CAR,Kalinga,Rizal,0.0,4th,15942.0,23100.0
REGION X,Misamis Oriental,Binuangan,0.0,6th,6765.0,3043.0
REGION IV-A,Batangas,Rosario,0.0,1st,105561.0,22688.0
REGION II,Nueva Vizcaya,Bagabag,0.0,2nd,35462.0,18390.0
REGION IV-B,Palawan,Araceli,0.0,4th,14113.0,20430.0
REGION III,Tarlac,San Manuel,0.0,4th,24289.0,4210.0
REGION VII,Bohol,Dauis,0.0,4th,39448.0,4333.0
REGION I,Pangasinan,Bautista,0.0,4th,30193.0,4633.0
REGION I,Ilocos Sur,Santa Cruz,0.0,1st,37911.0,8878.0
REGION VIII,Leyte,Tabontabon,0.0,5th,9838.0,2418.0
REGION XIII,Surigao del Sur,Tandag City,1.0,5th Class ,"",29173.0
REGION IV-B,Palawan,Taytay,0.0,1st,70837.0,125768.0
REGION I,Pangasinan,Lingayen,0.0,1st,98740.0,6276.0
REGION IX,Zamboanga del Sur,San Pablo,0.0,4th,26500.0,14990.0
REGION IV-A,Laguna,Luisiana,0.0,4th,20148.0,7331.0
REGION XIII,Surigao del Norte,Malimono,0.0,5th,18316.0,8013.0
REGION XII,South Cotabato,Norala,0.0,3rd,44635.0,12320.0
REGION XIII,Agusan del Norte,Jabonga,0.0,3rd,23833.0,29300.0
REGION V,Sorsogon,Irosin,0.0,2nd,51777.0,14987.0
REGION IV-A,Laguna,Calauan,0.0,2nd,74890.0,6540.0
REGION XIII,Surigao del Sur,Lanuza,0.0,4th,11857.0,29060.0
REGION V,Camarines Norte,San Vicente,0.0,5th,10114.0,5749.0
REGION VI,Capiz,Pontevedra,0.0,3rd,43525.0,13090.0
REGION VI,Antique,Laua-An,0.0,4th,25211.0,10072.0
REGION XI,Compostela Valley,Maco,0.0,1st,72235.0,34223.0
REGION VIII,Leyte,Albuera,0.0,3rd,40553.0,30335.0
REGION V,Camarines Sur,Ocampo,0.0,3rd,43523.0,11833.0
REGION XII,Sultan Kudarat,Lebak,0.0,1st,83280.0,47086.0
REGION VIII,Leyte,Leyte,0.0,4th,37505.0,18126.0
REGION III,Bulacan,Malolos City,1.0,3rd Class ,"",6725.0
REGION III,Zambales,Cabangan,0.0,4th,23082.0,17529.0
REGION VII,Bohol,Ubay,0.0,1st,68578.0,33506.0
REGION VI,Iloilo,Miagao,0.0,1st,64545.0,15680.0
REGION III,Pampanga,Arayat,0.0,1st,121348.0,13448.0
REGION VI,Antique,San Remigio,0.0,3rd,30446.0,40698.0
REGION IV-A,Cavite,Kawit,0.0,1st,78209.0,2286.0
REGION XIII,Agusan del Norte,Magallanes,0.0,4th,21481.0,4431.0
ARMM,Lanao del Sur,Buadiposo-Buntong,0.0,4th,15662.0,21500.0
REGION XI,Davao del Sur,Sulop,0.0,3rd,32163.0,15526.0
REGION IX,Zamboanga Sibugay,Payao,0.0,3rd,29755.0,24566.0
ARMM,Lanao del Sur,Bacolod Kalawi,0.0,3rd,18555.0,49157.0
REGION III,Pampanga,Angeles City,1.0,1st Class-Special,"",6027.0
REGION IV-A,Batangas,Santa Teresita,0.0,5th,17415.0,1630.0
REGION VI,Iloilo,Zarraga,0.0,4th,23693.0,5448.0
REGION VI,Iloilo,Carles,0.0,2nd,62690.0,10405.0
REGION VIII,Southern Leyte,Pintuyan,0.0,5th,9261.0,3698.0
REGION VIII,Northern Samar,Biri,0.0,5th,10987.0,2462.0
REGION IV-B,Romblon,Calatrava,0.0,5th,9776.0,8670.0
REGION VII,Cebu,Samboan,0.0,5th,18613.0,4516.0
REGION XI,Davao Oriental,Tarragona,0.0,3rd,25671.0,30076.0
REGION VIII,Leyte,Palo,0.0,3rd,62727.0,22127.0
REGION IV-B,Occidental Mindoro,Abra de Ilog,0.0,2nd,29225.0,53370.0
REGION IV-A,Quezon,Quezon,0.0,5th,15142.0,7122.0
NIR,Negros Oriental,Pamplona,0.0,3rd,34906.0,20220.0
REGION III,Tarlac,Anao,0.0,5th,10873.0,2387.0
ARMM,Maguindanao,South Upi,0.0,4th,35990.0,18480.0
REGION VII,Cebu,Tuburan,0.0,2nd,58914.0,22450.0
REGION VIII,Leyte,Inopacan,0.0,4th,19904.0,9462.0
REGION I,Ilocos Sur,Sinait,0.0,3rd,25427.0,6556.0
REGION VI,Capiz,Cuartero,0.0,4th,25456.0,10658.0
REGION V,Sorsogon,Pilar,0.0,1st,68245.0,24800.0
REGION VIII,Southern Leyte,Tomas Oppus,0.0,5th,15807.0,5611.0
REGION I,Ilocos Sur,Santa,0.0,4th,15106.0,10910.0
REGION V,Catanduanes,San Andres,0.0,3rd,35779.0,16731.0
REGION II,Batanes,Basco,0.0,5th,7907.0,4946.0
REGION VII,Cebu,Santander,0.0,4th,16105.0,2953.0
REGION VIII,Biliran,Naval,0.0,2nd,48799.0,10824.0
REGION X,Misamis Occidental,Don Victoriano Chiongbian,0.0,4th,9774.0,28460.0
REGION IX,Zamboanga del Norte,La Libertad,0.0,5th,7771.0,6951.0
NCR,Metropolitan Manila,Mandaluyong,1.0,1st Class-Special,"",929.0
REGION X,Bukidnon,Kalilangan,0.0,2nd,39847.0,25143.0
REGION VIII,Leyte,Javier,0.0,4th,23878.0,15270.0
REGION IX,Zamboanga Sibugay,Tungawan,0.0,2nd,40552.0,47328.0
REGION VIII,Eastern Samar,San Policarpo,0.0,5th,13836.0,7800.0
ARMM,Tawi-Tawi,Mapun,0.0,4th,24168.0,18129.0
ARMM,Maguindanao,Gen. S. K. Pendatun,0.0,4th,24004.0,18937.0
REGION III,Pampanga,Santo Tomas,0.0,4th,38062.0,2130.0
REGION XII,Sarangani,Malungon,0.0,1st,95044.0,75092.0
REGION V,Albay,Jovellar,0.0,4th,16899.0,10540.0
CAR,Abra,Licuan-Baay,0.0,5th,4864.0,25642.0
REGION VIII,Eastern Samar,Hernani,0.0,5th,8070.0,4942.0
REGION V,Albay,Polangui,0.0,1st,82307.0,14530.0
REGION III,Nueva Ecija,Zaragoza,0.0,3rd,44124.0,7202.0
REGION V,Albay,Tiwi,0.0,1st,50163.0,10576.0
REGION IV-A,Quezon,Polillo,0.0,3rd,28125.0,25300.0
ARMM,Lanao del Sur,Bayang,0.0,5th,21472.0,23000.0
REGION V,Sorsogon,Donsol,0.0,3rd,47563.0,15620.0
REGION IV-A,Laguna,Cavinti,0.0,3rd,20809.0,20358.0
REGION V,Masbate,San Pascual,0.0,3rd,44753.0,24665.0
REGION III,Zambales,Botolan,0.0,1st,54434.0,73528.0
REGION V,Masbate,Masbate City,1.0,4th Class ,"",18800.0
REGION II,Nueva Vizcaya,Aritao,0.0,2nd,37115.0,26560.0
REGION II,Cagayan,Rizal,0.0,5th,18592.0,12440.0
REGION X,Misamis Oriental,Balingoan,0.0,5th,10175.0,5780.0
REGION IV-B,Oriental Mindoro,Pinamalayan,0.0,1st,81666.0,28226.0
REGION X,Misamis Oriental,Libertad,0.0,5th,11586.0,2247.0
REGION VIII,Leyte,Isabel,0.0,1st,43593.0,6401.0
REGION XII,South Cotabato,Polomolok,0.0,1st,138273.0,33997.0
REGION XI,Davao del Sur,Kiblawan,0.0,2nd,44618.0,39007.0
REGION IX,Zamboanga del Norte,Sergio Osmena Sr.,0.0,2nd,29453.0,55644.0
REGION X,Misamis Oriental,Magsaysay,0.0,4th,33047.0,14314.0
REGION I,Ilocos Norte,Solsona,0.0,3rd,22990.0,16623.0
REGION XII,Sultan Kudarat,Esperanza,0.0,1st,63207.0,32429.0
REGION I,La Union,Pugo,0.0,5th,16518.0,6284.0
REGION III,Pampanga,Mexico,0.0,1st,146851.0,11741.0
REGION VI,Iloilo,Dumangas,0.0,1st,66108.0,12870.0
REGION VI,Aklan,Lezo,0.0,5th,14518.0,2340.0
REGION IV-A,Cavite,Magallanes,0.0,4th,21231.0,7307.0
REGION VII,Cebu,Sogod,0.0,4th,30626.0,11923.0
REGION IV-A,Laguna,Pagsanjan,0.0,3rd,39313.0,2636.0
REGION I,Pangasinan,Dagupan City,1.0,2nd Class ,"",3723.0
REGION II,Batanes,Uyugan,0.0,6th,1240.0,1628.0
ARMM,Maguindanao,Sultan Sa Barongis,0.0,2nd,22547.0,29130.0
REGION II,Isabela,Gamu,0.0,4th,28657.0,12940.0
REGION VI,Iloilo,Leganes,0.0,4th,29438.0,3220.0
REGION III,Zambales,Subic,0.0,1st,89724.0,28716.0
REGION IX,Zamboanga del Sur,Josefina,0.0,5th,10826.0,5635.0
REGION VIII,Northern Samar,Mapanas,0.0,5th,12423.0,11785.0
REGION VIII,Eastern Samar,Mercedes,0.0,5th,5369.0,2332.0
REGION XI,Davao del Sur,Santa Cruz,0.0,1st,81093.0,31991.0
REGION I,Pangasinan,Bugallon,0.0,2nd,64253.0,18964.0
REGION VI,Aklan,Kalibo,0.0,1st,74619.0,5075.0
REGION XIII,Agusan del Sur,Prosperidad,0.0,1st,76628.0,50515.0
REGION XI,Compostela Valley,Monkayo,0.0,1st,94827.0,60961.0
REGION VII,Bohol,Bilar,0.0,4th,17098.0,12971.0
REGION XIII,Agusan del Norte,Buenavista,0.0,1st,56139.0,47561.0
REGION III,Bataan,Mariveles,0.0,1st,112707.0,15390.0
REGION VII,Cebu,Tabogon,0.0,3rd,33024.0,10135.0
CAR,Kalinga,Lubuagan,0.0,4th,9369.0,23420.0
REGION VIII,Southern Leyte,Macrohon,0.0,4th,25386.0,12639.0
REGION XII,South Cotabato,T'Boli,0.0,1st,79175.0,89583.0
NCR,Metropolitan Manila,Muntinlupa,1.0,1st Class-Special,"",3975.0
REGION I,Ilocos Sur,Bantay,0.0,3rd,34323.0,7660.0
REGION XIII,Dinagat Islands,Cagdianao,0.0,3rd,15047.0,24948.0
ARMM,Sulu,Tapul,0.0,5th,16370.0,8917.0
REGION II,Nueva Vizcaya,Diadi,0.0,4th,16484.0,18120.0
REGION VII,Bohol,Pres. Carlos P. Garcia,0.0,4th,23287.0,5482.0
REGION X,Misamis Oriental,Naawan,0.0,4th,18895.0,8850.0
NIR,Negros Occidental,Salvador Benedicto,0.0,4th,23624.0,17050.0
REGION IV-A,Rizal,Rodriguez,0.0,1st,280904.0,17265.0
NIR,Negros Oriental,Tayasan,0.0,3rd,34609.0,15420.0
NIR,Negros Occidental,Hinoba-An,0.0,1st,54624.0,41450.0
REGION I,Pangasinan,San Fabian,0.0,1st,77899.0,8128.0
NIR,Negros Oriental,Ayungon,0.0,2nd,46146.0,26510.0
CAR,Abra,Villaviciosa,0.0,5th,5377.0,10293.0
CAR,Kalinga,Tanudan,0.0,4th,8529.0,30755.0
CAR,Benguet,Mankayan,0.0,1st,35586.0,13048.0
REGION V,Masbate,Palanas,0.0,4th,25501.0,17110.0
REGION XII,Sultan Kudarat,Columbio,0.0,1st,27440.0,92615.0
REGION X,Misamis Occidental,Clarin,0.0,4th,35573.0,8450.0
REGION XIII,Surigao del Sur,Cagwait,0.0,4th,18899.0,21410.0
REGION IV-B,Occidental Mindoro,San Jose,0.0,1st,131188.0,44670.0
CAR,Mountain Province,Natonin,0.0,4th,10048.0,25200.0
REGION I,Ilocos Sur,Cervantes,0.0,4th,16573.0,23470.0
REGION VII,Cebu,Barili,0.0,2nd,65524.0,12221.0
REGION VI,Capiz,Pilar,0.0,3rd,41572.0,7799.0
REGION VIII,Southern Leyte,San Juan,0.0,5th,14073.0,9612.0
REGION III,Pampanga,San Simon,0.0,4th,48353.0,5737.0
REGION I,La Union,Balaoan,0.0,1st,37910.0,6870.0
REGION XII,Sarangani,Glan,0.0,1st,106518.0,61030.0
ARMM,Maguindanao,Ampatuan,0.0,4th,17800.0,25540.0
REGION V,Camarines Norte,Jose Panganiban,0.0,2nd,55557.0,21444.0
REGION IV-A,Quezon,San Narciso,0.0,3rd,45386.0,26358.0
REGION VIII,Leyte,Dulag,0.0,3rd,41757.0,11070.0
ARMM,Lanao del Sur,Wao,0.0,2nd,40479.0,48524.0
OAV,NORTH AND LATIN AMERICA,AGANA PCG,-1.0,"","",""
REGION V,Catanduanes,Panganiban,0.0,5th,9738.0,7996.0
REGION VI,Iloilo,Sara,0.0,2nd,46889.0,16902.0
REGION VII,Cebu,Tudela,0.0,5th,9859.0,3302.0
REGION V,Masbate,Monreal,0.0,4th,25366.0,12867.0
CAR,Abra,Bucay,0.0,5th,17126.0,10216.0
REGION I,Ilocos Sur,Caoayan,0.0,4th,18551.0,1742.0
OAV,MIDDLE EAST AND AFRICAS,KINGDOM OF BAHRAIN,-1.0,"","",""
REGION XIII,Surigao del Sur,Carmen,0.0,5th,10287.0,16001.0
REGION X,Lanao del Norte,Bacolod,0.0,4th,21818.0,10410.0
ARMM,Lanao del Sur,Lumbatan,0.0,5th,16719.0,15839.0
REGION IX,Zamboanga Sibugay,Olutanga,0.0,4th,28717.0,11330.0
REGION X,Bukidnon,Maramag,0.0,1st,90901.0,44726.0
REGION IV-A,Laguna,Santa Rosa City,1.0,1st Class-Special,"",5484.0
ARMM,Lanao del Sur,Bumbaran,0.0,3rd,8734.0,54410.0
REGION III,Aurora,San Luis,0.0,2nd,25276.0,62386.0
REGION VIII,Leyte,Hindang,0.0,5th,20179.0,5004.0
REGION IV-A,Batangas,San Pascual,0.0,1st,59598.0,5070.0
ARMM,Lanao del Sur,Tugaya,0.0,5th,22235.0,15510.0
REGION VIII,Samar,Santa Margarita,0.0,4th,24850.0,12912.0
REGION IX,Zamboanga del Norte,Labason,0.0,3rd,40375.0,16958.0
REGION VIII,Northern Samar,Gamay,0.0,4th,22425.0,11510.0
REGION II,Isabela,San Mateo,0.0,1st,60792.0,12060.0
REGION XIII,Agusan del Sur,Esperanza,0.0,1st,51897.0,135548.0
REGION I,Pangasinan,Urbiztondo,0.0,3rd,47831.0,8180.0
CAR,Ifugao,Hungduan,0.0,4th,9933.0,26030.0
REGION VIII,Leyte,Abuyog,0.0,1st,57146.0,68825.0
REGION IV-B,Palawan,Aborlan,0.0,1st,32209.0,80733.0
REGION II,Isabela,Benito Soliven,0.0,4th,27337.0,18440.0
REGION III,Nueva Ecija,General Tinio,0.0,1st,42634.0,53308.0
REGION VII,Bohol,Alicia,0.0,4th,22285.0,11450.0
REGION XII,South Cotabato,Santo Nino,0.0,3rd,39738.0,8620.0
REGION V,Camarines Sur,Baao,0.0,3rd,54971.0,10663.0
REGION VII,Cebu,Medellin,0.0,2nd,50047.0,7319.0
REGION V,Camarines Sur,Lupi,0.0,3rd,30118.0,19912.0
REGION III,Pampanga,Candaba,0.0,1st,102399.0,17640.0
NCR,Metropolitan Manila,Makati City,1.0,1st Class-Special,"",2157.0
REGION V,Albay,Ligao City,1.0,4th Class ,"",24675.0
REGION VII,Cebu,Pilar,0.0,5th,11564.0,3242.0
NIR,Negros Occidental,Kabankalan City,1.0,1st Class-Special,"",69735.0
REGION II,Batanes,Itbayat,0.0,5th,2988.0,8313.0
REGION IX,Zamboanga del Norte,Sibuco,0.0,1st,31982.0,78254.0
REGION V,Catanduanes,Bato,0.0,5th,19984.0,4862.0
REGION III,Nueva Ecija,Bongabon,0.0,2nd,59343.0,28695.0
REGION V,Sorsogon,Matnog,0.0,3rd,37641.0,16240.0
REGION IV-A,Quezon,Agdangan,0.0,5th,11567.0,3154.0
REGION VII,Bohol,Carmen,0.0,2nd,43579.0,23945.0
ARMM,Tawi-Tawi,Sibutu,0.0,-,28532.0,28532.0
CAR,Abra,Lagangilang,0.0,5th,13824.0,10144.0
REGION VIII,Samar,Gandara,0.0,2nd,31943.0,57349.0
REGION V,Camarines Sur,Presentacion,0.0,4th,20023.0,14380.0
REGION VIII,Leyte,Macarthur,0.0,-,18724.0,5757.0
REGION I,Ilocos Norte,Piddig,0.0,3rd,20606.0,21620.0
REGION X,Lanao del Norte,Tangcal,0.0,5th,12588.0,17862.0
REGION III,Nueva Ecija,Gabaldon,0.0,3rd,32246.0,24288.0
REGION V,Camarines Sur,Cabusao,0.0,5th,18049.0,4680.0
REGION IX,Zamboanga del Norte,Dapitan City,1.0,3rd Class ,"",39053.0
REGION XII,North Cotabato,Libungan,0.0,2nd,45295.0,17250.0
REGION VIII,Samar,San Jose de Buan,0.0,4th,6563.0,36690.0
REGION III,Nueva Ecija,General Mamerto Natividad,0.0,4th,36720.0,11800.0
ARMM,Lanao del Sur,Marantao,0.0,2nd,28550.0,66000.0
REGION VII,Cebu,Dumanjug,0.0,3rd,46754.0,8553.0
REGION XIII,Surigao del Norte,Pilar,0.0,5th,9456.0,7711.0
REGION VII,Bohol,Cortes,0.0,5th,15294.0,2732.0
REGION II,Isabela,San Mariano,0.0,1st,51438.0,146950.0
REGION XII,North Cotabato,Antipas,0.0,2nd,25242.0,55250.0
ARMM,Lanao del Sur,Ditsaan-Ramain,0.0,3rd,20208.0,52798.0
REGION VI,Aklan,Nabas,0.0,4th,31052.0,9682.0
REGION IV-A,Quezon,Tayabas City,1.0,6th Class ,"",23095.0
REGION IV-A,Laguna,Pakil,0.0,5th,20822.0,4650.0
REGION IV-A,Batangas,Lian,0.0,3rd,45943.0,7680.0
REGION IV-B,Oriental Mindoro,Gloria,0.0,3rd,42012.0,24552.0
REGION XIII,Agusan del Norte,Kitcharao,0.0,4th,17377.0,17192.0
REGION VI,Capiz,Mambusao,0.0,3rd,37672.0,13691.0
REGION VI,Antique,Patnongon,0.0,3rd,35102.0,16792.0
ARMM,Lanao del Sur,Madalum,0.0,3rd,20243.0,49839.0
ARMM,Lanao del Sur,Taraka,0.0,4th,20881.0,43540.0
ARMM,Maguindanao,Pagalungan,0.0,1st,31891.0,89876.0
REGION XI,Davao Oriental,Boston,0.0,3rd,12670.0,35703.0
REGION XII,South Cotabato,Tupi,0.0,1st,61843.0,22800.0
REGION XII,Sultan Kudarat,Lambayong,0.0,2nd,65557.0,22688.0
REGION IX,Zamboanga del Norte,Bacungan,0.0,4th,24643.0,25550.0
REGION IV-A,Laguna,Famy,0.0,5th,15021.0,5306.0
